index,order_requests,city_x,date,language,mobile,avatar_id,hotel_id,stock,group,brand,parking,pool,children_policy,price
0,1,8,21,6.0,0,1,161,46,2,1,1,0,0,204.83570765056163
1,1,8,21,6.0,0,1,187,32,1,2,1,1,0,223.08678494144075
2,1,8,21,6.0,0,1,279,12,0,0,1,0,0,292.3844269050346
3,1,8,21,6.0,0,1,395,10,1,3,0,0,0,326.15149282040124
4,1,8,21,6.0,0,1,488,42,1,3,1,1,1,218.2923312638332
5,1,8,21,6.0,0,1,811,44,2,1,1,0,0,168.29315215254098
6,1,8,21,6.0,0,1,935,9,3,3,0,0,0,338.9606407753696
7,1,8,21,6.0,0,1,954,28,1,1,1,0,0,218.37173645764545
8,1,8,21,6.0,0,1,974,24,1,1,1,0,0,156.52628070325238
9,2,8,18,6.0,0,1,161,36,2,1,1,0,0,207.12800217929822
10,2,8,18,6.0,0,1,187,24,1,2,1,1,0,206.82911535937689
11,2,8,18,6.0,0,1,279,8,0,0,1,0,0,276.71351232148714
12,2,8,18,6.0,0,1,395,7,1,3,0,0,0,292.0981135783017
13,2,8,18,6.0,0,1,488,27,1,3,1,1,1,134.3359877671101
14,2,8,18,6.0,0,1,811,34,2,1,1,0,0,93.75410837434836
15,2,8,18,6.0,0,1,935,7,3,3,0,0,0,251.88562353795137
16,2,8,18,6.0,0,1,954,20,1,1,1,0,0,129.35844398327882
17,2,8,18,6.0,0,1,974,18,1,1,1,0,0,215.7123666297637
18,3,3,39,7.0,1,2,238,104,2,1,1,0,0,134.59879622393944
19,3,3,39,7.0,1,2,301,80,0,0,0,0,0,79.38481493323543
20,3,3,39,7.0,1,2,305,101,1,2,1,0,0,253.28243844607772
21,3,3,39,7.0,1,2,449,141,3,3,1,0,0,168.7111849756732
22,3,3,39,7.0,1,2,474,102,1,1,0,0,0,153.3764102343962
23,3,3,39,7.0,1,2,484,80,2,1,0,0,0,78.76259068932715
24,3,3,39,7.0,1,2,509,40,0,0,0,0,0,122.78086377374086
25,3,3,39,7.0,1,2,647,81,2,1,1,0,0,185.5461294854933
26,3,3,39,7.0,1,2,992,41,1,3,0,0,0,92.45032112888487
27,4,3,36,7.0,1,2,71,171,1,3,1,1,1,248.7849009172836
28,4,3,36,7.0,1,2,238,88,2,1,1,0,0,149.96806550405975
29,4,3,36,7.0,1,2,301,65,0,0,0,0,0,135.41531251033615
30,4,3,36,7.0,1,2,305,86,1,2,1,0,0,149.91466938853014
31,4,3,36,7.0,1,2,449,116,3,3,1,0,0,272.6139092254469
32,4,3,36,7.0,1,2,474,81,1,1,0,0,0,149.3251387631033
33,4,3,36,7.0,1,2,484,65,2,1,0,0,0,97.11445355220499
34,4,3,36,7.0,1,2,509,32,0,0,0,0,0,191.12724560515946
35,4,3,36,7.0,1,2,647,63,2,1,1,0,0,118.95781750144889
36,4,3,36,7.0,1,2,827,35,3,3,1,0,0,190.44317975023776
37,4,3,36,7.0,1,2,992,34,1,3,0,0,0,70.0
38,5,3,15,7.0,0,2,71,25,1,3,1,1,1,163.59069755507846
39,5,3,15,7.0,0,2,162,29,1,3,1,1,0,239.84306179345617
40,5,3,15,7.0,0,2,222,24,1,3,1,0,0,216.92332899977052
41,5,3,15,7.0,0,2,359,12,1,2,0,0,0,238.56841405949854
42,5,3,15,7.0,0,2,449,20,3,3,1,0,0,174.21758588058796
43,5,3,15,7.0,0,2,579,6,1,3,0,0,0,274.9448152205356
44,5,3,15,7.0,0,2,731,7,2,1,1,0,0,236.07390048162864
45,5,3,15,7.0,0,2,827,0,3,3,1,0,0,344.00778958026456
46,5,3,15,7.0,0,2,837,24,1,3,1,1,0,206.96806145201063
47,5,3,15,7.0,0,2,853,15,1,1,1,0,0,282.8561113109458
