index,order_requests,city_x,date,language,mobile,avatar_id,hotel_id,stock,group,brand,parking,pool,children_policy
0,1,8,21,6.0,0,1,161,46,2,1,1,0,0
1,1,8,21,6.0,0,1,187,32,1,2,1,1,0
2,1,8,21,6.0,0,1,279,12,0,0,1,0,0
3,1,8,21,6.0,0,1,395,10,1,3,0,0,0
4,1,8,21,6.0,0,1,488,42,1,3,1,1,1
5,1,8,21,6.0,0,1,811,44,2,1,1,0,0
6,1,8,21,6.0,0,1,935,9,3,3,0,0,0
7,1,8,21,6.0,0,1,954,28,1,1,1,0,0
8,1,8,21,6.0,0,1,974,24,1,1,1,0,0
9,2,8,18,6.0,0,1,161,36,2,1,1,0,0
10,2,8,18,6.0,0,1,187,24,1,2,1,1,0
11,2,8,18,6.0,0,1,279,8,0,0,1,0,0
12,2,8,18,6.0,0,1,395,7,1,3,0,0,0
13,2,8,18,6.0,0,1,488,27,1,3,1,1,1
14,2,8,18,6.0,0,1,811,34,2,1,1,0,0
15,2,8,18,6.0,0,1,935,7,3,3,0,0,0
16,2,8,18,6.0,0,1,954,20,1,1,1,0,0
17,2,8,18,6.0,0,1,974,18,1,1,1,0,0
18,3,3,39,7.0,1,2,238,104,2,1,1,0,0
19,3,3,39,7.0,1,2,301,80,0,0,0,0,0
20,3,3,39,7.0,1,2,305,101,1,2,1,0,0
21,3,3,39,7.0,1,2,449,141,3,3,1,0,0
22,3,3,39,7.0,1,2,474,102,1,1,0,0,0
23,3,3,39,7.0,1,2,484,80,2,1,0,0,0
24,3,3,39,7.0,1,2,509,40,0,0,0,0,0
25,3,3,39,7.0,1,2,647,81,2,1,1,0,0
26,3,3,39,7.0,1,2,992,41,1,3,0,0,0
27,4,3,36,7.0,1,2,71,171,1,3,1,1,1
28,4,3,36,7.0,1,2,238,88,2,1,1,0,0
29,4,3,36,7.0,1,2,301,65,0,0,0,0,0
30,4,3,36,7.0,1,2,305,86,1,2,1,0,0
31,4,3,36,7.0,1,2,449,116,3,3,1,0,0
32,4,3,36,7.0,1,2,474,81,1,1,0,0,0
33,4,3,36,7.0,1,2,484,65,2,1,0,0,0
34,4,3,36,7.0,1,2,509,32,0,0,0,0,0
35,4,3,36,7.0,1,2,647,63,2,1,1,0,0
36,4,3,36,7.0,1,2,827,35,3,3,1,0,0
37,4,3,36,7.0,1,2,992,34,1,3,0,0,0
38,5,3,15,7.0,0,2,71,25,1,3,1,1,1
39,5,3,15,7.0,0,2,162,29,1,3,1,1,0
40,5,3,15,7.0,0,2,222,24,1,3,1,0,0
41,5,3,15,7.0,0,2,359,12,1,2,0,0,0
42,5,3,15,7.0,0,2,449,20,3,3,1,0,0
43,5,3,15,7.0,0,2,579,6,1,3,0,0,0
44,5,3,15,7.0,0,2,731,7,2,1,1,0,0
45,5,3,15,7.0,0,2,827,0,3,3,1,0,0
46,5,3,15,7.0,0,2,837,24,1,3,1,1,0
47,5,3,15,7.0,0,2,853,15,1,1,1,0,0
48,5,3,15,7.0,0,2,866,19,1,3,1,1,0
49,6,6,38,4.0,1,3,106,96,1,1,1,0,0
50,6,6,38,4.0,1,3,134,39,3,3,1,0,0
51,6,6,38,4.0,1,3,209,96,0,0,1,0,0
52,7,6,20,4.0,1,3,81,24,2,1,0,0,0
53,7,6,20,4.0,1,3,282,20,3,2,0,0,0
54,8,2,21,1.0,0,4,75,17,2,1,0,0,0
55,8,2,21,1.0,0,4,120,20,3,2,1,0,0
56,8,2,21,1.0,0,4,164,26,3,2,1,0,0
57,8,2,21,1.0,0,4,233,21,1,1,0,0,0
58,8,2,21,1.0,0,4,252,33,1,3,1,1,0
59,8,2,21,1.0,0,4,284,21,3,2,1,0,1
60,8,2,21,1.0,0,4,297,45,1,2,1,1,0
61,8,2,21,1.0,0,4,351,12,0,0,0,0,0
62,8,2,21,1.0,0,4,370,15,3,3,0,0,0
63,8,2,21,1.0,0,4,737,52,1,2,0,0,0
64,8,2,21,1.0,0,4,845,46,1,3,0,0,0
65,8,2,21,1.0,0,4,915,13,1,3,1,0,0
66,8,2,21,1.0,0,4,939,40,1,3,1,1,0
67,9,2,20,1.0,0,4,75,16,2,1,0,0,0
68,9,2,20,1.0,0,4,120,18,3,2,1,0,0
69,9,2,20,1.0,0,4,164,22,3,2,1,0,0
70,9,2,20,1.0,0,4,233,20,1,1,0,0,0
71,9,2,20,1.0,0,4,252,29,1,3,1,1,0
72,9,2,20,1.0,0,4,284,20,3,2,1,0,1
73,9,2,20,1.0,0,4,297,40,1,2,1,1,0
74,9,2,20,1.0,0,4,351,10,0,0,0,0,0
75,9,2,20,1.0,0,4,370,14,3,3,0,0,0
76,9,2,20,1.0,0,4,737,49,1,2,0,0,0
77,9,2,20,1.0,0,4,845,42,1,3,0,0,0
78,9,2,20,1.0,0,4,915,12,1,3,1,0,0
79,9,2,20,1.0,0,4,939,36,1,3,1,1,0
80,10,2,6,1.0,1,4,131,8,1,3,1,1,0
81,10,2,6,1.0,1,4,258,7,1,3,0,0,1
82,10,2,6,1.0,1,4,265,11,1,3,0,1,0
83,10,2,6,1.0,1,4,370,6,3,3,0,0,0
84,10,2,6,1.0,1,4,418,0,2,1,1,0,0
85,10,2,6,1.0,1,4,454,2,2,1,1,0,0
86,10,2,6,1.0,1,4,609,4,1,1,1,0,0
87,10,2,6,1.0,1,4,673,7,3,3,0,0,0
88,10,2,6,1.0,1,4,710,0,1,2,0,0,0
89,10,2,6,1.0,1,4,836,5,3,3,1,0,0
90,10,2,6,1.0,1,4,915,0,1,3,1,0,0
91,11,2,18,1.0,1,5,75,13,2,1,0,0,0
92,11,2,18,1.0,1,5,120,16,3,2,1,0,0
93,11,2,18,1.0,1,5,164,18,3,2,1,0,0
94,11,2,18,1.0,1,5,233,18,1,1,0,0,0
95,11,2,18,1.0,1,5,252,22,1,3,1,1,0
96,11,2,18,1.0,1,5,284,18,3,2,1,0,1
97,11,2,18,1.0,1,5,297,30,1,2,1,1,0
98,11,2,18,1.0,1,5,351,8,0,0,0,0,0
99,11,2,18,1.0,1,5,370,12,3,3,0,0,0
100,11,2,18,1.0,1,5,737,44,1,2,0,0,0
101,11,2,18,1.0,1,5,845,34,1,3,0,0,0
102,11,2,18,1.0,1,5,915,10,1,3,1,0,0
103,11,2,18,1.0,1,5,939,27,1,3,1,1,0
104,12,2,16,1.0,0,5,75,11,2,1,0,0,0
105,12,2,16,1.0,0,5,120,14,3,2,1,0,0
106,12,2,16,1.0,0,5,164,16,3,2,1,0,0
107,12,2,16,1.0,0,5,233,16,1,1,0,0,0
108,12,2,16,1.0,0,5,252,15,1,3,1,1,0
109,12,2,16,1.0,0,5,284,16,3,2,1,0,1
