order_requests,city_x,date,language,mobile,avatar_id,hotel_id,stock,group,brand,parking,pool,children_policy,price
1,8,21,22,0,1,161,46,1,8,1,0,0,223
1,8,21,22,0,1,187,32,0,9,1,1,0,253
1,8,21,22,0,1,279,12,3,7,1,0,0,189
1,8,21,22,0,1,395,10,0,6,0,0,0,152
1,8,21,22,0,1,488,42,0,14,1,1,1,295
1,8,21,22,0,1,811,44,1,8,1,0,0,223
1,8,21,22,0,1,935,9,5,0,0,0,0,103
1,8,21,22,0,1,954,28,2,15,1,0,0,277
1,8,21,22,0,1,974,24,2,15,1,0,0,265
2,8,18,22,0,1,161,36,1,8,1,0,0,200
2,8,18,22,0,1,187,24,0,9,1,1,0,253
2,8,18,22,0,1,279,8,3,7,1,0,0,215
2,8,18,22,0,1,395,7,0,6,0,0,0,189
2,8,18,22,0,1,488,27,0,14,1,1,1,303
2,8,18,22,0,1,811,34,1,8,1,0,0,192
2,8,18,22,0,1,935,7,5,0,0,0,0,111
2,8,18,22,0,1,954,20,2,15,1,0,0,261
2,8,18,22,0,1,974,18,2,15,1,0,0,283
3,3,39,26,1,2,238,104,1,8,1,0,0,224
3,3,39,26,1,2,301,80,3,7,0,0,0,202
3,3,39,26,1,2,305,101,4,5,1,0,0,166
3,3,39,26,1,2,449,141,5,13,1,0,0,265
3,3,39,26,1,2,474,102,2,15,0,0,0,277
3,3,39,26,1,2,484,80,1,2,0,0,0,126
3,3,39,26,1,2,509,40,3,7,0,0,0,186
3,3,39,26,1,2,647,81,1,2,1,0,0,159
3,3,39,26,1,2,992,41,0,6,0,0,0,181
4,3,36,26,1,2,71,171,0,14,1,1,1,317
4,3,36,26,1,2,238,88,1,8,1,0,0,215
4,3,36,26,1,2,301,65,3,7,0,0,0,184
4,3,36,26,1,2,305,86,4,5,1,0,0,172
4,3,36,26,1,2,449,116,5,13,1,0,0,286
4,3,36,26,1,2,474,81,2,15,0,0,0,256
4,3,36,26,1,2,484,65,1,2,0,0,0,140
4,3,36,26,1,2,509,32,3,7,0,0,0,178
4,3,36,26,1,2,647,63,1,2,1,0,0,178
4,3,36,26,1,2,827,35,5,0,1,0,0,137
4,3,36,26,1,2,992,34,0,6,0,0,0,163
5,3,15,26,0,2,71,25,0,14,1,1,1,319
5,3,15,26,0,2,162,29,4,4,1,1,0,208
5,3,15,26,0,2,222,24,4,4,1,0,0,173
5,3,15,26,0,2,359,12,0,11,0,0,0,240
5,3,15,26,0,2,449,20,5,13,1,0,0,256
5,3,15,26,0,2,579,6,0,6,0,0,0,184
5,3,15,26,0,2,731,7,1,8,1,0,0,232
5,3,15,26,0,2,827,0,5,0,1,0,0,281
5,3,15,26,0,2,837,24,0,14,1,1,0,302
5,3,15,26,0,2,853,15,2,15,1,0,0,309
5,3,15,26,0,2,866,19,0,14,1,1,0,308
6,6,38,19,1,3,106,96,2,15,1,0,0,296
6,6,38,19,1,3,134,39,5,0,1,0,0,165
6,6,38,19,1,3,209,96,3,7,1,0,0,239
7,6,20,19,1,3,81,24,1,8,0,0,0,198
7,6,20,19,1,3,282,20,5,1,0,0,0,126
8,2,21,1,0,4,75,17,1,2,0,0,0,145
8,2,21,1,0,4,120,20,5,1,1,0,0,153
8,2,21,1,0,4,164,26,5,1,1,0,0,178
8,2,21,1,0,4,233,21,2,15,0,0,0,287
8,2,21,1,0,4,252,33,4,10,1,1,0,295
8,2,21,1,0,4,284,21,5,1,1,0,1,183
8,2,21,1,0,4,297,45,2,3,1,1,0,209
8,2,21,1,0,4,351,12,3,7,0,0,0,225
8,2,21,1,0,4,370,15,5,0,0,0,0,133
8,2,21,1,0,4,737,52,0,9,0,0,0,240
8,2,21,1,0,4,845,46,0,14,0,0,0,274
8,2,21,1,0,4,915,13,0,6,1,0,0,207
8,2,21,1,0,4,939,40,4,10,1,1,0,283
9,2,20,18,0,4,75,16,1,2,0,0,0,167
9,2,20,18,0,4,120,18,5,1,1,0,0,194
9,2,20,18,0,4,164,22,5,1,1,0,0,175
9,2,20,18,0,4,233,20,2,15,0,0,0,290
9,2,20,18,0,4,252,29,4,10,1,1,0,292
9,2,20,18,0,4,284,20,5,1,1,0,1,178
9,2,20,18,0,4,297,40,2,3,1,1,0,230
9,2,20,18,0,4,351,10,3,7,0,0,0,219
9,2,20,18,0,4,370,14,5,0,0,0,0,153
9,2,20,18,0,4,737,49,0,9,0,0,0,229
9,2,20,18,0,4,845,42,0,14,0,0,0,265
9,2,20,18,0,4,915,12,0,6,1,0,0,229
9,2,20,18,0,4,939,36,4,10,1,1,0,281
10,2,6,18,1,4,131,8,4,10,1,1,0,288
10,2,6,18,1,4,258,7,4,10,0,0,1,253
10,2,6,18,1,4,265,11,4,4,0,1,0,200
10,2,6,18,1,4,370,6,5,0,0,0,0,137
10,2,6,18,1,4,418,0,1,8,1,0,0,403
10,2,6,18,1,4,454,2,1,2,1,0,0,330
10,2,6,18,1,4,609,4,2,12,1,0,0,436
10,2,6,18,1,4,673,7,5,13,0,0,0,267
10,2,6,18,1,4,710,0,0,11,0,0,0,424
10,2,6,18,1,4,836,5,5,13,1,0,0,314
10,2,6,18,1,4,915,0,0,6,1,0,0,392
11,2,18,18,1,5,75,13,1,2,0,0,0,159
11,2,18,18,1,5,120,16,5,1,1,0,0,203
11,2,18,18,1,5,164,18,5,1,1,0,0,192
11,2,18,18,1,5,233,18,2,15,0,0,0,291
11,2,18,18,1,5,252,22,4,10,1,1,0,293
11,2,18,18,1,5,284,18,5,1,1,0,1,172
11,2,18,18,1,5,297,30,2,3,1,1,0,226
11,2,18,18,1,5,351,8,3,7,0,0,0,238
11,2,18,18,1,5,370,12,5,0,0,0,0,167
11,2,18,18,1,5,737,44,0,9,0,0,0,247
11,2,18,18,1,5,845,34,0,14,0,0,0,298
11,2,18,18,1,5,915,10,0,6,1,0,0,251
11,2,18,18,1,5,939,27,4,10,1,1,0,319
12,2,16,18,0,5,75,11,1,2,0,0,0,199
12,2,16,18,0,5,120,14,5,1,1,0,0,191
12,2,16,18,0,5,164,16,5,1,1,0,0,196
12,2,16,18,0,5,233,16,2,15,0,0,0,324
12,2,16,18,0,5,252,15,4,10,1,1,0,290
12,2,16,18,0,5,284,16,5,1,1,0,1,204
12,2,16,18,0,5,297,22,2,3,1,1,0,256
12,2,16,18,0,5,351,7,3,7,0,0,0,223
12,2,16,18,0,5,370,11,5,0,0,0,0,142
12,2,16,18,0,5,737,40,0,9,0,0,0,230
12,2,16,18,0,5,845,24,0,14,0,0,0,284
12,2,16,18,0,5,915,8,0,6,1,0,0,245
12,2,16,18,0,5,939,22,4,10,1,1,0,303
13,2,1,7,1,5,131,1,4,10,1,1,0,483
13,2,1,7,1,5,258,1,4,10,0,0,1,421
13,2,1,7,1,5,265,6,4,4,0,1,0,223
13,2,1,7,1,5,370,4,5,0,0,0,0,309
13,2,1,7,1,5,418,0,1,8,1,0,0,409
13,2,1,7,1,5,454,0,1,2,1,0,0,360
13,2,1,7,1,5,609,1,2,12,1,0,0,447
13,2,1,7,1,5,673,1,5,13,0,0,0,456
13,2,1,7,1,5,710,0,0,11,0,0,0,443
13,2,1,7,1,5,836,1,5,13,1,0,0,476
13,2,1,7,1,5,915,0,0,6,1,0,0,378
14,6,15,1,1,6,81,14,1,8,0,0,0,259
14,6,15,1,1,6,282,14,5,1,0,0,0,196
15,6,5,1,0,6,160,2,3,7,1,0,0,417
15,6,5,1,0,6,389,0,0,11,0,0,0,453
15,6,5,1,0,6,491,4,4,10,0,0,0,419
15,6,5,1,0,6,754,6,0,14,1,0,0,343
16,6,0,10,1,6,160,0,3,7,1,0,0,435
16,6,0,10,1,6,389,0,0,11,0,0,0,432
16,6,0,10,1,6,491,0,4,10,0,0,0,441
16,6,0,10,1,6,754,0,0,14,1,0,0,476
17,6,38,9,1,7,106,96,2,15,1,0,0,356
17,6,38,9,1,7,134,39,5,0,1,0,0,212
17,6,38,9,1,7,209,96,3,7,1,0,0,256
18,6,35,26,1,7,106,79,2,15,1,0,0,345
18,6,35,26,1,7,134,31,5,0,1,0,0,217
18,6,35,26,1,7,209,78,3,7,1,0,0,287
19,0,35,0,0,8,30,68,0,11,1,0,0,324
19,0,35,0,0,8,83,75,5,1,0,0,0,214
19,0,35,0,0,8,169,38,0,6,0,0,0,245
19,0,35,0,0,8,283,63,3,7,1,0,0,292
19,0,35,0,0,8,482,32,0,6,1,0,0,279
19,0,35,0,0,8,507,54,1,2,0,0,0,233
19,0,35,0,0,8,674,58,0,11,0,0,0,317
19,0,35,0,0,8,679,79,2,15,1,0,0,345
19,0,35,0,0,8,788,76,3,7,1,0,0,291
19,0,35,0,0,8,867,64,3,7,1,0,0,277
20,0,20,0,0,8,22,19,5,1,1,0,0,212
20,0,20,0,0,8,30,24,0,11,1,0,0,348
20,0,20,0,0,8,140,15,1,2,0,0,0,205
20,0,20,0,0,8,169,16,0,6,0,0,0,247
20,0,20,0,0,8,410,16,0,11,0,0,0,316
20,0,20,0,0,8,441,28,5,13,0,0,0,318
20,0,20,0,0,8,455,22,5,1,0,0,0,226
20,0,20,0,0,8,529,48,4,4,1,0,1,272
20,0,20,0,0,8,591,46,0,14,0,0,0,343
20,0,20,0,0,8,658,22,4,5,1,0,0,264
20,0,20,0,0,8,715,20,5,1,0,0,0,221
21,0,18,23,0,8,22,16,5,1,1,0,0,246
21,0,18,23,0,8,30,19,0,11,1,0,0,338
21,0,18,23,0,8,140,12,1,2,0,0,0,216
21,0,18,23,0,8,169,13,0,6,0,0,0,283
21,0,18,23,0,8,410,14,0,11,0,0,0,296
21,0,18,23,0,8,441,25,5,13,0,0,0,317
21,0,18,23,0,8,455,18,5,1,0,0,0,231
21,0,18,23,0,8,529,37,4,4,1,0,1,261
21,0,18,23,0,8,591,38,0,14,0,0,0,326
21,0,18,23,0,8,658,18,4,5,1,0,0,256
21,0,18,23,0,8,715,18,5,1,0,0,0,222
22,3,19,13,1,9,71,35,0,14,1,1,1,402
22,3,19,13,1,9,162,48,4,4,1,1,0,316
22,3,19,13,1,9,222,35,4,4,1,0,0,281
22,3,19,13,1,9,359,17,0,11,0,0,0,332
22,3,19,13,1,9,449,26,5,13,1,0,0,340
22,3,19,13,1,9,579,11,0,6,0,0,0,268
22,3,19,13,1,9,731,17,1,8,1,0,0,291
22,3,19,13,1,9,827,6,5,0,1,0,0,235
22,3,19,13,1,9,837,43,0,14,1,1,0,411
22,3,19,13,1,9,853,19,2,15,1,0,0,365
22,3,19,13,1,9,866,35,0,14,1,1,0,411
23,3,17,13,1,9,71,29,0,14,1,1,1,388
23,3,17,13,1,9,162,38,4,4,1,1,0,295
23,3,17,13,1,9,222,29,4,4,1,0,0,271
23,3,17,13,1,9,359,14,0,11,0,0,0,342
23,3,17,13,1,9,449,23,5,13,1,0,0,368
23,3,17,13,1,9,579,9,0,6,0,0,0,259
23,3,17,13,1,9,731,12,1,8,1,0,0,328
23,3,17,13,1,9,827,2,5,0,1,0,0,370
23,3,17,13,1,9,837,32,0,14,1,1,0,406
23,3,17,13,1,9,853,17,2,15,1,0,0,375
23,3,17,13,1,9,866,26,0,14,1,1,0,400
24,3,16,13,0,9,71,27,0,14,1,1,1,422
24,3,16,13,0,9,162,32,4,4,1,1,0,298
24,3,16,13,0,9,222,26,4,4,1,0,0,265
24,3,16,13,0,9,359,13,0,11,0,0,0,325
24,3,16,13,0,9,449,22,5,13,1,0,0,378
24,3,16,13,0,9,579,7,0,6,0,0,0,262
24,3,16,13,0,9,731,10,1,8,1,0,0,319
24,3,16,13,0,9,827,1,5,0,1,0,0,405
24,3,16,13,0,9,837,27,0,14,1,1,0,408
24,3,16,13,0,9,853,16,2,15,1,0,0,395
24,3,16,13,0,9,866,21,0,14,1,1,0,392
25,3,18,0,0,10,71,32,0,14,1,1,1,413
25,3,18,0,0,10,162,43,4,4,1,1,0,314
25,3,18,0,0,10,222,32,4,4,1,0,0,296
25,3,18,0,0,10,359,15,0,11,0,0,0,321
25,3,18,0,0,10,449,24,5,13,1,0,0,387
25,3,18,0,0,10,579,10,0,6,0,0,0,304
25,3,18,0,0,10,731,14,1,8,1,0,0,343
25,3,18,0,0,10,827,4,5,0,1,0,0,392
25,3,18,0,0,10,837,37,0,14,1,1,0,434
25,3,18,0,0,10,853,18,2,15,1,0,0,375
25,3,18,0,0,10,866,30,0,14,1,1,0,405
26,3,2,23,0,10,0,2,5,13,1,0,1,537
26,3,2,23,0,10,17,1,0,6,0,0,0,444
26,3,2,23,0,10,56,1,5,13,1,1,0,562
26,3,2,23,0,10,71,2,0,14,1,1,1,580
26,3,2,23,0,10,162,3,4,4,1,1,0,479
26,3,2,23,0,10,323,2,2,3,1,1,0,474
26,3,2,23,0,10,415,1,1,2,1,0,0,406
26,3,2,23,0,10,421,1,1,2,0,0,0,395
26,3,2,23,0,10,526,2,0,14,0,0,0,525
26,3,2,23,0,10,540,3,4,4,1,1,0,451
26,3,2,23,0,10,582,1,5,13,0,1,0,520
26,3,2,23,0,10,827,0,5,0,1,0,0,391
27,1,38,0,0,11,43,99,3,7,1,0,0,309
27,1,38,0,0,11,194,40,3,7,0,0,0,321
27,1,38,0,0,11,249,102,3,7,0,0,0,316
27,1,38,0,0,11,744,98,1,8,0,0,0,303
27,1,38,0,0,11,830,78,3,7,0,0,0,319
27,1,38,0,0,11,951,81,3,7,1,0,0,323
27,1,38,0,0,11,952,37,3,7,0,0,0,300
27,1,38,0,0,11,981,41,5,0,0,0,0,217
27,1,38,0,0,11,995,132,2,12,0,0,0,354
28,1,35,0,1,11,43,84,3,7,1,0,0,333
28,1,35,0,1,11,194,32,3,7,0,0,0,322
28,1,35,0,1,11,249,90,3,7,0,0,0,313
28,1,35,0,1,11,744,80,1,8,0,0,0,310
28,1,35,0,1,11,830,64,3,7,0,0,0,297
28,1,35,0,1,11,951,67,3,7,1,0,0,345
28,1,35,0,1,11,952,31,3,7,0,0,0,327
28,1,35,0,1,11,981,31,5,0,0,0,0,259
28,1,35,0,1,11,995,106,2,12,0,0,0,359
29,1,18,10,0,11,367,11,5,0,0,0,0,259
29,1,18,10,0,11,720,30,2,3,0,0,2,279
29,1,18,10,0,11,831,8,3,7,1,0,0,349
29,1,18,10,0,11,855,23,5,13,0,0,0,379
30,8,20,22,1,12,161,44,1,8,1,0,0,358
30,8,20,22,1,12,187,29,0,9,1,1,0,387
30,8,20,22,1,12,279,10,3,7,1,0,0,337
30,8,20,22,1,12,395,9,0,6,0,0,0,291
30,8,20,22,1,12,488,36,0,14,1,1,1,454
30,8,20,22,1,12,811,41,1,8,1,0,0,345
30,8,20,22,1,12,935,8,5,0,0,0,0,265
30,8,20,22,1,12,954,25,2,15,1,0,0,432
30,8,20,22,1,12,974,22,2,15,1,0,0,403
31,8,18,22,1,12,161,36,1,8,1,0,0,367
31,8,18,22,1,12,187,24,0,9,1,1,0,388
31,8,18,22,1,12,279,8,3,7,1,0,0,345
31,8,18,22,1,12,395,7,0,6,0,0,0,314
31,8,18,22,1,12,488,27,0,14,1,1,1,432
31,8,18,22,1,12,811,34,1,8,1,0,0,341
31,8,18,22,1,12,935,7,5,0,0,0,0,237
31,8,18,22,1,12,954,20,2,15,1,0,0,421
31,8,18,22,1,12,974,18,2,15,1,0,0,437
32,8,16,2,0,12,161,30,1,8,1,0,0,351
32,8,16,2,0,12,187,20,0,9,1,1,0,401
32,8,16,2,0,12,279,6,3,7,1,0,0,351
32,8,16,2,0,12,395,5,0,6,0,0,0,329
32,8,16,2,0,12,488,18,0,14,1,1,1,467
32,8,16,2,0,12,811,28,1,8,1,0,0,377
