order_requests,city_x,date,language,mobile,avatar_id,hotel_id,stock,group,brand,parking,pool,children_policy,price
1,8,21,22,0,1,161,46,1,8,1,0,0,204.83570765056163
1,8,21,22,0,1,187,32,0,9,1,1,0,223.08678494144075
1,8,21,22,0,1,279,12,3,7,1,0,0,292.3844269050346
1,8,21,22,0,1,395,10,0,6,0,0,0,326.15149282040124
1,8,21,22,0,1,488,42,0,14,1,1,1,218.2923312638332
1,8,21,22,0,1,811,44,1,8,1,0,0,168.29315215254098
1,8,21,22,0,1,935,9,5,0,0,0,0,338.9606407753696
1,8,21,22,0,1,954,28,2,15,1,0,0,218.37173645764545
1,8,21,22,0,1,974,24,2,15,1,0,0,156.52628070325238
2,8,18,22,0,1,161,36,1,8,1,0,0,207.12800217929822
2,8,18,22,0,1,187,24,0,9,1,1,0,206.82911535937689
2,8,18,22,0,1,279,8,3,7,1,0,0,276.71351232148714
2,8,18,22,0,1,395,7,0,6,0,0,0,292.0981135783017
2,8,18,22,0,1,488,27,0,14,1,1,1,134.3359877671101
2,8,18,22,0,1,811,34,1,8,1,0,0,93.75410837434836
2,8,18,22,0,1,935,7,5,0,0,0,0,251.88562353795137
2,8,18,22,0,1,954,20,2,15,1,0,0,129.35844398327882
2,8,18,22,0,1,974,18,2,15,1,0,0,215.7123666297637
3,3,39,26,1,2,238,104,1,8,1,0,0,134.59879622393944
3,3,39,26,1,2,301,80,3,7,0,0,0,79.38481493323543
3,3,39,26,1,2,305,101,4,5,1,0,0,253.28243844607772
3,3,39,26,1,2,449,141,5,13,1,0,0,168.7111849756732
3,3,39,26,1,2,474,102,2,15,0,0,0,153.3764102343962
3,3,39,26,1,2,484,80,1,2,0,0,0,78.76259068932715
3,3,39,26,1,2,509,40,3,7,0,0,0,122.78086377374086
3,3,39,26,1,2,647,81,1,2,1,0,0,185.5461294854933
3,3,39,26,1,2,992,41,0,6,0,0,0,92.45032112888487
4,3,36,26,1,2,71,171,0,14,1,1,1,248.7849009172836
4,3,36,26,1,2,238,88,1,8,1,0,0,149.96806550405975
4,3,36,26,1,2,301,65,3,7,0,0,0,135.41531251033615
4,3,36,26,1,2,305,86,4,5,1,0,0,149.91466938853014
4,3,36,26,1,2,449,116,5,13,1,0,0,272.6139092254469
4,3,36,26,1,2,474,81,2,15,0,0,0,149.3251387631033
4,3,36,26,1,2,484,65,1,2,0,0,0,97.11445355220499
4,3,36,26,1,2,509,32,3,7,0,0,0,191.12724560515946
4,3,36,26,1,2,647,63,1,2,1,0,0,118.95781750144889
4,3,36,26,1,2,827,35,5,0,1,0,0,190.44317975023776
4,3,36,26,1,2,992,34,0,6,0,0,0,70.0
5,3,15,26,0,2,71,25,0,14,1,1,1,163.59069755507846
5,3,15,26,0,2,162,29,4,4,1,1,0,239.84306179345617
5,3,15,26,0,2,222,24,4,4,1,0,0,216.92332899977052
5,3,15,26,0,2,359,12,0,11,0,0,0,238.56841405949854
5,3,15,26,0,2,449,20,5,13,1,0,0,174.21758588058796
5,3,15,26,0,2,579,6,0,6,0,0,0,274.9448152205356
5,3,15,26,0,2,731,7,1,8,1,0,0,236.07390048162864
5,3,15,26,0,2,827,0,5,0,1,0,0,344.00778958026456
5,3,15,26,0,2,837,24,0,14,1,1,0,206.96806145201063
5,3,15,26,0,2,853,15,2,15,1,0,0,282.8561113109458
5,3,15,26,0,2,866,19,0,14,1,1,0,257.18091447842306
6,6,38,19,1,3,106,96,2,15,1,0,0,91.8479922318633
6,6,38,19,1,3,134,39,5,0,1,0,0,196.20419846973977
6,6,38,19,1,3,209,96,3,7,1,0,0,160.74588597918418
7,6,20,19,1,3,81,24,1,8,0,0,0,116.15389998470206
7,6,20,19,1,3,282,20,5,1,0,0,0,180.5838144420434
8,2,21,1,0,4,75,17,1,2,0,0,0,231.54997612479755
8,2,21,1,0,4,120,20,5,1,1,0,0,226.56400595580993
8,2,21,1,0,4,164,26,5,1,1,0,0,138.03912383886808
8,2,21,1,0,4,233,21,2,15,0,0,0,134.53938120743928
8,2,21,1,0,4,252,33,4,10,1,1,0,246.5631715701782
8,2,21,1,0,4,284,21,5,1,1,0,1,228.77725635611796
8,2,21,1,0,4,297,45,2,3,1,1,0,206.0412881077355
8,2,21,1,0,4,351,12,3,7,0,0,0,220.71705116680914
8,2,21,1,0,4,370,15,5,0,0,0,0,144.68325129969858
8,2,21,1,0,4,737,52,0,9,0,0,0,90.18966879596647
8,2,21,1,0,4,845,46,0,14,0,0,0,190.6262911197099
8,2,21,1,0,4,915,13,0,6,1,0,0,317.8120014285412
8,2,21,1,0,4,939,40,4,10,1,1,0,226.3994939209833
9,2,20,18,0,4,75,16,1,2,0,0,0,240.17664489460122
9,2,20,18,0,4,120,18,5,1,1,0,0,218.0818012523817
9,2,20,18,0,4,164,22,5,1,1,0,0,147.7440122697438
9,2,20,18,0,4,233,20,2,15,0,0,0,168.0697802754207
9,2,20,18,0,4,252,29,4,10,1,1,0,306.90182832329845
9,2,20,18,0,4,284,20,5,1,1,0,1,178.20869804450243
9,2,20,18,0,4,297,40,2,3,1,1,0,308.23218279070034
9,2,20,18,0,4,351,10,3,7,0,0,0,119.01274479551279
9,2,20,18,0,4,370,14,5,0,0,0,0,251.09512521876118
9,2,20,18,0,4,737,49,0,9,0,0,0,154.35235341190855
9,2,20,18,0,4,845,42,0,14,0,0,0,135.04963247670662
9,2,20,18,0,4,915,12,0,6,1,0,0,264.5880388267751
9,2,20,18,0,4,939,36,4,10,1,1,0,130.62155426995537
10,2,6,18,1,4,131,8,4,10,1,1,0,339.0164056081244
10,2,6,18,1,4,258,7,4,10,0,0,1,297.85562857558733
10,2,6,18,1,4,265,11,4,4,0,1,0,363.8947022370758
10,2,6,18,1,4,370,6,5,0,0,0,0,264.0864890863176
10,2,6,18,1,4,418,0,1,8,1,0,0,339.57531985534064
10,2,6,18,1,4,454,2,1,2,1,0,0,334.91214782077316
10,2,6,18,1,4,609,4,2,12,1,0,0,385.7701058851037
10,2,6,18,1,4,673,7,5,13,0,0,0,296.43755548298424
10,2,6,18,1,4,710,0,0,11,0,0,0,323.51198981164805
10,2,6,18,1,4,836,5,5,13,1,0,0,355.6633716556678
